,Country or Province Name,Updated Date,Toal Confirmed Cases,Deaths,Todays Cases
4436,Canada,2020-12-27,552020,14964.0,5520
4427,Quebec,2020-12-27,192655,8023.0,2291
4426,Ontario,2020-12-27,171416,4377.0,2005
4423,Alberta,2020-12-27,97481,890.0,500
4422,British Columbia,2020-12-27,48609,808.0,0
4425,Manitoba,2020-12-27,24145,645.0,521
4424,Saskatchewan,2020-12-27,14814,141.0,198
4430,Nova Scotia,2020-12-27,1465,65.0,0
4429,New Brunswick,2020-12-27,592,8.0,2
4428,Newfoundland and Labrador,2020-12-27,387,4.0,3
4434,Nunavut,2020-12-27,265,2.0,0
4431,Prince Edward Island,2020-12-27,94,0.0,0
4432,Yukon,2020-12-27,60,1.0,0
4433,Northwest Territories,2020-12-27,24,0.0,0
